excel column,code,name,note
EW,hh_wntkinder5,with members ages (0-5) not attending kinder (text_data),mistake on text_data. We need to correct
EX,wmem611,with members ages (6-11),
EY,wntelem611,with members ages (6-11) not attending elementary (OHE),
EZ,hh_wntelem611,with members ages (6-11) not attending elementary (text_data),
FA,wmem1215,with members ages (12-15),
FB,wnths1215,with members ages (12-15) not attending highschool (OHE),
FC,hh_wnths1215,with members ages (12-15) not attending highschool (text_data),
FD,wmem612,with members ages (6-12),
FE,wntelem612,with members ages (6-12) not attending elementary (OHE),
FF,hh_wntelem612,with members ages (6-12) not attending elementary (text_data),
FG,wmem1316,with members ages (13-16),
FH,wnths1316,with members ages (13-16) not attending highschool (OHE),
FI,hh_wnths1316,with members ages (13-16) not attending highschool (text_data),
FJ,wmem1617,with members ages (16-17),
FK,wnths1617,with members ages (16-17) not attending highschool (OHE),
FL,hh_wnths1617,with members ages (16-17) not attending highschool (text_data),
FM,wmem615,with members ages (6-15),to_drop_redundant
FN,wntsch615,with members ages (6-15) not attending school (OHE),to_drop_redundant
FO,hh_wntsch615,with members ages (6-15) not attending school (text_data),to_drop_redundant
FP,wmem616,with members ages (6-16),to_drop_redundant
FQ,wntsch616,with members ages (6-16) not attending school (OHE),to_drop_redundant
FR,hh_wntsch616,with members ages (6-16) not attending school (text_data),to_drop_redundant
FS,wmem617,with members ages (6-17),
FT,wntsch617,with members ages (6-17) not attending school (OHE),
FU,hh_wntsch617,with members ages (6-17) not attending school (text_data),
FV,wmem10ab,with members ages 10 and above,
FW,wntliter10ab,with members ages 10 and above who are illiterate (OHE),
FX,hh_wntliter10ab,with members ages 10 and above who are illiterate (text_data),
FY,wmem1524,with members ages (15-24),
FZ,allliter1524,are all members ages(15-24) literate?,
GA,wmem1721,with members ages (17-21),
GB,alltert1721,are all members ages (17-21) attending tertiary school?,
GC,povp,suffering from poverty? (OHE),
GD,npovp,number of members if poverty,
GE,npovp_male,number of male members if poverty,
GF,npovp_female,number of female members if poverty,
GG,hh_povp,suffering from poverty? (text_data),
GH,subp,is subsistently poor? (OHE),
GI,nsubp,number of members if subsistently poor,
GJ,nsubp_male,number of male members if subsistently poor,
GK,nsubp_female,number of female members if subsistently poor,
GL,hh_subp,is subsistently poor? (text_data),
GM,fshort,experienced food shortage? (OHE),
GN,nfshort,number of members experienced food shortage,
GO,nfshort_male,number of male members experienced food shortage,
GP,nfshort_female,number of female members experienced food shortage,
GQ,hh_fshort,experienced food shortage? (text_data),
GR,nlabfor,number of members part of the labor force,
GS,nlabfor_male,number of male members part of the labor force,
GT,nlabfor_female,number of female members part of the labor force,
GU,nunempl15ab,number of unemployed members part of the labor force ages 15 and above,
GV,nunempl15ab_male,number of unemployed male members part of the labor force ages 15 and above,
GW,nunempl15ab_female,number of unemployed female members part of the labor force ages 15 and above,
GX,wlabfor,with members part of labor force (OHE),
GY,wunempl15ab,with unemployed members part of labor force ages 15 and above (OHE),
GZ,hh_wunempl15ab,with unemployed members part of labor force ages 15 and above (text_data),
HA,nvictcr,number of members that are victims of crime,
HB,nvictcr_male,number of male members that are victims of crime,
HC,nvictcr_female,number of female members that are victims of crime,
HD,wvictcr,with members victims of crime (OHE),
HE,hh_wvictcr,with members victims of crime (text_data),
HF,hh_totmem_sq,area of house in square meters,NOT SUUUUUURE
HG,wtv,with tv,to_drop
HH,wvhs,with vhs,to_drop
HI,wref,with ref,to_drop
HJ,wwmach,with washing machine,to_drop
HK,wairc,with aircon,to_drop
HL,wcar,with car,to_drop
HM,wphone,with phone,to_drop
HN,wcomputer,with computer,to_drop
HO,wmicrow,with microwave,to_drop
HP,welec,with elec,to_drop
HQ,toilscore,I don’t know huhu,to_drop
HR,nmem014,number of member ages (0-14),
HS,nmem1564,number of members ages (15-64),
HT,nmem65ab,number of members ages 65 and above,
HU,depratio, dependents ratio,
HV,hhage, total age of household (?),
HW,hheduca2,?,
HX,hheduca3,?,
HY,hheduca4,?,
HZ,hheduca5,?,
IA,hheduca67,?,
IB,hhntagri,?,
IC,urb_loc, 1 - urban or 0 - rural,
